date,group_name,ratio
2024-02-26,Cost-Effective,18.42778
2024-03-04,Cost-Effective,15.81806
2024-03-11,Cost-Effective,15.08308
2024-03-18,Cost-Effective,13.47464
2024-03-25,Cost-Effective,14.03919
2024-04-01,Cost-Effective,11.93012
2024-04-08,Cost-Effective,13.26161
2024-04-15,Cost-Effective,13.7729
2024-04-22,Cost-Effective,13.70899
2024-04-29,Cost-Effective,13.99659
2024-05-06,Cost-Effective,15.11504
2024-05-13,Cost-Effective,12.84618
2024-05-20,Cost-Effective,13.06987
2024-05-27,Cost-Effective,12.48402
2024-06-03,Cost-Effective,12.63314
2024-06-10,Cost-Effective,12.45206
2024-06-17,Cost-Effective,12.59054
2024-06-24,Cost-Effective,12.50532
2024-07-01,Cost-Effective,14.07115
2024-07-08,Cost-Effective,13.11248
2024-07-15,Cost-Effective,12.31359
2024-07-22,Cost-Effective,13.67703
2024-07-29,Cost-Effective,14.56114
2024-08-05,Cost-Effective,13.94333
2024-08-12,Cost-Effective,15.27481
2024-08-19,Cost-Effective,13.94333
2024-08-26,Cost-Effective,14.48657
2024-09-02,Cost-Effective,14.62505
2024-09-09,Cost-Effective,13.99659
2024-09-16,Cost-Effective,13.92202
2024-09-23,Cost-Effective,11.98338
2024-09-30,Cost-Effective,11.75969
2024-10-07,Cost-Effective,11.90881
2024-10-14,Cost-Effective,12.88879
2024-10-21,Cost-Effective,10.85428
2024-10-28,Cost-Effective,11.91947
2024-11-04,Cost-Effective,11.62121
2024-11-11,Cost-Effective,12.80357
2024-11-18,Cost-Effective,13.20835
2024-11-25,Cost-Effective,13.14443
2024-12-02,Cost-Effective,12.47337
2024-12-09,Cost-Effective,12.77162
2024-12-16,Cost-Effective,13.89007
2024-12-23,Cost-Effective,13.92202
2024-12-30,Cost-Effective,15.99914
2025-01-06,Cost-Effective,25.71367
2025-01-13,Cost-Effective,22.18789
2025-01-20,Cost-Effective,18.04431
2025-01-27,Cost-Effective,20.96293
2025-02-03,Cost-Effective,20.38772
2025-02-10,Cost-Effective,18.06561
2025-02-17,Cost-Effective,17.99105
2025-02-24,Cost-Effective,17.10694
2025-03-03,Cost-Effective,16.44652
2025-03-10,Cost-Effective,14.55048
2025-03-17,Cost-Effective,14.23093
2025-03-24,Cost-Effective,14.13506
2025-03-31,Cost-Effective,13.67703
